student_id,age,gender,city,state,branch,year_of_study,cgpa,daily_study_hours,daily_screen_time_hours,daily_chatgpt_usage_hours,daily_coding_hours,favorite_ai_tool,ai_dependency_level,productivity_score,stress_level,sleep_hours,placement_status,expected_salary_lpa,internet_quality,preferred_programming_language,mental_wellbeing_score,ai_replaceability_fear
STU00001,17,Female,Mumbai,West Bengal,ENTC,3,8.56,3.6,4.7,4.4,6.5,ChatGPT,Low,64,9,6.1,Internship,34.38,Good,C++,36,3
STU00002,19,Female,Nagpur,Delhi,Civil,2,8.51,5.3,6.7,2.7,6.6,Gemini,Low,97,7,6.2,Placed,4.91,Excellent,Java,30,6
STU00003,28,Female,Mumbai,Maharashtra,CSE,2,7.25,7.6,4.2,1.4,4.8,Gemini,Low,58,7,6.7,Internship,23.3,Excellent,C++,90,1
STU00004,21,Female,Nagpur,West Bengal,ENTC,2,9.24,7.5,9.3,5.8,2.9,Perplexity,High,73,10,5.8,Not Placed,10.3,Poor,JavaScript,95,7
STU00005,27,Female,Nagpur,Gujarat,ENTC,3,6.79,6.7,3.1,3.5,3.9,Perplexity,Low,94,3,6.5,Internship,16.63,Poor,JavaScript,63,3
STU00006,22,Female,Nagpur,Tamil Nadu,CSE,4,6.87,4.8,12.7,7.6,4.5,GitHub Copilot,High,89,6,7.1,Placed,6.7,Average,Java,76,1
STU00007,22,Male,Kolkata,Telangana,Mechanical,1,6.9,4.7,12.4,2.0,4.3,Claude,Medium,88,4,8.9,Internship,19.62,Excellent,Python,49,9
STU00008,24,Female,Ahmedabad,Maharashtra,CSE,2,8.2,2.1,11.9,4.8,4.9,GitHub Copilot,Low,41,5,5.7,Not Placed,12.73,Good,JavaScript,83,1
STU00009,18,Male,Nagpur,Delhi,Civil,1,7.33,7.1,12.5,4.1,6.0,ChatGPT,Medium,97,1,6.9,Internship,23.0,Excellent,Java,99,7
STU00010,17,Female,Hyderabad,Tamil Nadu,CSE,3,8.47,8.6,3.0,6.1,2.2,GitHub Copilot,Medium,41,3,5.0,Not Placed,21.32,Poor,Python,77,4
STU00011,28,Male,Pune,West Bengal,Mechanical,4,5.92,9.0,9.5,5.8,0.1,Perplexity,Medium,49,5,7.0,Not Placed,20.82,Good,Python,98,6
STU00012,25,Male,Delhi,West Bengal,Mechanical,4,6.2,2.4,10.3,2.6,6.2,GitHub Copilot,Low,87,3,6.8,Not Placed,15.45,Poor,C++,87,8
STU00013,21,Female,Pune,Karnataka,Mechanical,3,9.57,8.6,6.3,0.3,2.7,Perplexity,High,75,3,6.0,Not Placed,25.56,Poor,C++,58,10
STU00014,22,Male,Hyderabad,Telangana,AI/ML,2,9.88,4.2,11.2,4.7,6.2,Claude,Medium,65,1,4.8,Internship,15.76,Poor,Python,94,4
STU00015,17,Male,Hyderabad,Telangana,AI/ML,1,6.56,4.1,8.2,5.3,1.0,Perplexity,Medium,45,6,4.7,Internship,13.3,Average,Python,91,8
STU00016,28,Female,Pune,Delhi,Civil,4,8.41,8.6,8.6,6.8,3.5,Claude,Medium,98,4,5.6,Internship,14.34,Average,Java,93,6
STU00017,28,Male,Pune,Delhi,Electrical,4,6.25,8.5,6.1,4.4,5.2,Claude,High,94,7,6.6,Not Placed,3.09,Good,Python,87,6
STU00018,20,Male,Kolkata,West Bengal,CSE,4,9.85,9.1,4.5,2.3,4.7,GitHub Copilot,High,56,3,8.5,Internship,34.48,Excellent,C++,38,5
STU00019,18,Female,Nagpur,West Bengal,Mechanical,3,6.63,6.1,11.7,3.2,6.6,ChatGPT,Medium,43,10,4.8,Not Placed,22.22,Good,Java,89,10
STU00020,28,Female,Bangalore,Gujarat,ENTC,3,9.31,9.9,3.0,3.4,1.8,GitHub Copilot,High,76,6,6.3,Placed,20.53,Excellent,C++,73,1
STU00021,19,Male,Pune,Tamil Nadu,Civil,4,5.91,3.7,13.1,4.6,4.1,Gemini,Medium,74,1,7.8,Not Placed,26.74,Average,C++,77,4
STU00022,26,Male,Ahmedabad,Telangana,Mechanical,3,5.71,7.4,12.1,1.3,7.0,Perplexity,Low,60,7,5.4,Placed,12.81,Poor,C++,66,3
STU00023,23,Female,Kolkata,Maharashtra,Mechanical,1,8.43,2.0,10.0,7.1,6.3,GitHub Copilot,High,50,4,6.2,Placed,17.02,Good,Python,97,4
STU00024,21,Female,Ahmedabad,Karnataka,IT,1,8.87,6.1,3.0,4.7,7.3,ChatGPT,Medium,79,9,5.7,Internship,32.68,Good,Python,96,2
STU00025,27,Female,Kolkata,West Bengal,Electrical,4,8.8,6.2,11.0,0.6,7.7,ChatGPT,Low,76,7,8.1,Internship,32.12,Excellent,C++,49,8
STU00026,19,Male,Bangalore,Karnataka,CSE,2,6.07,1.7,3.7,3.2,3.8,Gemini,Low,65,1,6.8,Placed,6.91,Excellent,C++,100,1
STU00027,17,Male,Kolkata,Gujarat,IT,2,6.39,8.3,7.6,6.5,0.1,Claude,Low,58,6,6.8,Placed,32.82,Poor,C++,49,8
STU00028,20,Female,Bangalore,Telangana,Civil,4,8.06,2.9,10.6,3.0,6.0,GitHub Copilot,High,52,7,4.1,Placed,23.35,Excellent,Java,66,3
STU00029,24,Male,Delhi,Maharashtra,ENTC,3,5.64,7.7,7.7,1.0,4.9,Perplexity,High,41,8,4.3,Internship,23.91,Good,C++,76,4
STU00030,23,Male,Mumbai,Telangana,Electrical,1,9.88,7.9,8.9,0.8,6.3,Perplexity,High,60,2,7.3,Internship,4.57,Average,JavaScript,53,7
STU00031,19,Female,Delhi,West Bengal,Electrical,1,8.99,5.7,7.1,6.3,3.7,Gemini,Low,61,1,6.4,Placed,8.81,Average,Python,88,7
STU00032,20,Female,Pune,Maharashtra,AI/ML,1,6.91,8.6,4.2,3.3,8.9,GitHub Copilot,High,45,3,5.2,Internship,32.34,Poor,C++,86,4
STU00033,20,Male,Kolkata,Delhi,Civil,2,9.54,1.8,7.6,4.0,2.8,ChatGPT,High,40,5,4.2,Not Placed,10.73,Excellent,C++,59,1
STU00034,17,Male,Mumbai,Karnataka,IT,2,5.92,3.1,11.7,7.2,0.4,Gemini,High,90,1,5.5,Internship,34.38,Good,JavaScript,77,6
STU00035,27,Male,Kolkata,Maharashtra,Mechanical,3,7.87,6.6,2.1,3.9,8.9,Claude,Medium,84,1,5.9,Not Placed,6.11,Poor,C++,40,7
STU00036,28,Male,Chennai,Tamil Nadu,Electrical,1,7.53,9.7,6.1,6.4,7.2,Perplexity,High,74,4,5.0,Not Placed,17.19,Poor,Python,56,6
STU00037,23,Female,Hyderabad,Gujarat,Mechanical,2,8.65,4.7,4.3,7.7,5.9,GitHub Copilot,Low,56,1,8.3,Internship,3.81,Average,Python,76,3
STU00038,18,Male,Mumbai,Delhi,CSE,1,6.67,5.5,2.8,7.9,2.1,Claude,Low,98,5,5.9,Not Placed,9.85,Average,C++,82,2
STU00039,26,Female,Nagpur,West Bengal,Mechanical,1,5.96,3.1,5.6,5.1,2.5,Perplexity,Low,98,6,5.8,Not Placed,3.19,Good,JavaScript,60,1
STU00040,18,Male,Mumbai,West Bengal,ENTC,4,7.11,5.8,3.9,4.8,2.6,Claude,High,51,3,7.2,Not Placed,3.84,Poor,JavaScript,56,4
STU00041,17,Female,Delhi,West Bengal,Electrical,1,9.41,1.1,3.5,6.2,0.4,Gemini,High,57,7,7.6,Placed,34.07,Excellent,C++,38,1
STU00042,18,Female,Hyderabad,Telangana,CSE,2,9.34,7.4,13.5,3.4,7.9,Claude,Medium,78,9,5.8,Internship,32.75,Good,Java,48,5
STU00043,21,Male,Kolkata,Karnataka,ENTC,1,6.15,9.5,12.0,6.8,1.1,GitHub Copilot,Low,95,3,7.0,Placed,3.52,Poor,Python,38,8
STU00044,26,Male,Kolkata,Telangana,Civil,4,8.67,1.1,3.0,1.8,7.9,Perplexity,Medium,44,4,5.8,Placed,20.28,Excellent,Java,98,5
STU00045,28,Male,Bangalore,Gujarat,CSE,2,8.0,3.0,8.9,5.3,2.7,Perplexity,Low,85,1,6.1,Not Placed,17.5,Excellent,JavaScript,72,3
STU00046,27,Female,Kolkata,Gujarat,Civil,1,9.6,6.3,13.4,4.4,4.5,ChatGPT,Low,53,3,4.0,Internship,18.39,Average,C++,76,9
STU00047,23,Female,Hyderabad,Tamil Nadu,Electrical,2,9.58,2.8,2.6,3.3,3.4,Perplexity,High,94,9,8.3,Placed,3.85,Poor,Python,96,10
STU00048,27,Male,Ahmedabad,Gujarat,AI/ML,4,9.55,7.1,12.9,4.9,7.3,ChatGPT,Medium,58,8,5.7,Not Placed,14.19,Good,C++,55,3
STU00049,17,Female,Pune,Telangana,CSE,4,7.22,7.8,6.4,1.9,8.4,Claude,Medium,82,3,8.5,Placed,14.16,Poor,Python,79,3
STU00050,25,Male,Ahmedabad,Telangana,Electrical,2,8.29,3.5,4.5,2.7,2.9,Perplexity,Medium,61,6,8.4,Internship,29.31,Excellent,C++,73,8
STU00051,19,Male,Mumbai,Gujarat,Civil,1,8.62,9.6,7.1,2.0,1.1,Perplexity,High,89,3,5.5,Not Placed,7.65,Poor,Python,48,3
STU00052,27,Female,Delhi,West Bengal,Mechanical,2,5.91,6.4,6.4,4.5,1.7,Perplexity,High,51,8,7.4,Internship,9.9,Poor,JavaScript,49,5
STU00053,22,Female,Bangalore,Maharashtra,ENTC,4,6.72,7.7,8.7,2.7,4.9,GitHub Copilot,Medium,43,7,7.5,Not Placed,32.19,Poor,C++,86,8
STU00054,17,Male,Pune,Gujarat,IT,3,8.06,3.1,11.0,6.2,1.8,Claude,Low,84,9,8.1,Internship,17.88,Excellent,C++,59,1
STU00055,19,Male,Ahmedabad,Karnataka,Electrical,4,8.93,3.1,6.0,7.6,5.9,GitHub Copilot,High,93,1,7.9,Not Placed,25.03,Average,C++,75,9
STU00056,21,Male,Chennai,Karnataka,Electrical,1,6.4,5.2,11.7,5.4,0.1,ChatGPT,High,48,9,4.4,Placed,14.1,Excellent,JavaScript,81,8
STU00057,18,Male,Delhi,Delhi,AI/ML,3,9.66,5.4,5.2,2.9,1.9,GitHub Copilot,High,71,2,6.1,Not Placed,9.98,Poor,C++,95,7
STU00058,18,Male,Hyderabad,Maharashtra,Civil,1,9.22,5.1,5.4,7.5,2.8,Claude,Low,52,2,8.5,Placed,4.39,Excellent,JavaScript,85,8
STU00059,28,Male,Kolkata,Maharashtra,CSE,3,8.61,5.4,7.3,0.3,0.4,Perplexity,Medium,64,6,5.7,Not Placed,33.31,Good,Java,72,10
STU00060,19,Male,Pune,Tamil Nadu,ENTC,3,8.22,4.3,9.3,1.6,1.5,ChatGPT,Low,91,5,5.8,Not Placed,30.63,Good,Python,70,10
STU00061,24,Female,Bangalore,Telangana,Electrical,1,7.74,3.7,13.4,6.5,2.9,Perplexity,Medium,93,3,8.9,Placed,34.6,Good,Python,90,9
STU00062,20,Female,Delhi,Karnataka,ENTC,4,7.3,6.9,6.9,2.1,0.7,Claude,Medium,80,8,5.3,Not Placed,11.69,Good,JavaScript,67,2
STU00063,27,Female,Ahmedabad,Maharashtra,Electrical,3,7.25,2.7,13.4,0.8,5.6,GitHub Copilot,High,76,10,6.2,Internship,16.55,Average,Python,37,3
STU00064,28,Female,Nagpur,Tamil Nadu,Civil,3,7.14,8.8,5.4,0.2,8.3,Perplexity,Low,89,5,8.3,Placed,11.86,Average,JavaScript,40,10
STU00065,23,Male,Chennai,Tamil Nadu,Civil,2,7.8,2.0,3.1,6.7,3.7,Gemini,Medium,84,10,7.3,Placed,33.18,Average,C++,83,3
STU00066,19,Female,Hyderabad,Telangana,AI/ML,2,6.58,1.1,2.3,5.7,8.3,Claude,Low,77,10,6.3,Placed,15.0,Good,Python,87,1
STU00067,19,Male,Chennai,Telangana,Civil,2,7.89,8.7,9.8,1.9,7.0,Claude,Low,46,4,4.7,Placed,8.3,Good,Python,40,3
STU00068,24,Female,Delhi,Maharashtra,Mechanical,1,8.2,3.1,10.5,2.8,2.5,Perplexity,High,55,2,9.0,Not Placed,4.3,Average,Python,69,3
STU00069,24,Male,Chennai,Gujarat,ENTC,1,8.34,1.3,11.1,1.8,0.8,Perplexity,Medium,59,7,7.2,Not Placed,26.44,Average,Python,54,4
STU00070,21,Female,Nagpur,Karnataka,Civil,2,8.48,1.5,5.5,3.6,2.6,Gemini,High,50,4,8.1,Not Placed,7.2,Poor,Java,68,3
STU00071,28,Male,Ahmedabad,Gujarat,Electrical,4,8.19,9.9,12.8,1.8,0.0,Gemini,High,80,4,8.9,Internship,31.25,Excellent,Java,64,5
STU00072,25,Female,Hyderabad,Karnataka,AI/ML,2,9.55,4.7,10.9,1.7,3.5,Gemini,Low,82,2,8.3,Not Placed,7.08,Good,JavaScript,39,3
STU00073,24,Female,Nagpur,Maharashtra,ENTC,3,9.43,5.5,7.1,2.4,8.3,ChatGPT,Medium,80,1,6.6,Placed,28.73,Good,C++,46,8
