Election_ID,State,Constituency_Code,Constituency_Name,Round,Last_Updated_Time,Candidate_Name,Party,Gender,Age,Education,Criminal_Cases,Assets_Cr,Liabilities_Cr,Campaign_Spending_Cr,Social_Media_Followers,Speech_Sentiment,Popularity_Score,Historical_Win_Rate,Registered_Voters,EVM_Votes,Postal_Votes,Total_Votes,Vote_Percentage,Vote_Surge_Score,Constituency_Volatility,Independent_Candidate_Count,Voter_Turnout,Urban_Voter_Ratio,Rural_Voter_Ratio,Postal_Vote_Ratio,Fraud_Risk_Score,Anomaly_Score,Strategic_Manipulation_Score,Bot_Activity_Flag,Fake_News_Score,Cyber_Attack_Risk,Booth_Capture_Risk,Deepfake_Propagation_Score,Suspicious_Timing_Index,Vote_Injection_Risk,Attack_Type,Defense_Strategy,Adversarial_Pressure,Strategic_Polarization_Index,Influence_Network_Strength,Vote_Change_Per_Round,Late_Round_Surge,Time_Between_Updates_min,Sequential_Risk_Score,EVM_Device_ID,Server_Delay_ms,Network_Failure_Count,Power_Outage_Risk,Noise_Float_1,Noise_Float_2,Noise_Category,Correlated_Noise_Score,Fraud_Proxy_Duplicate,Election_Result,Fraud_Label,Risk_Category
137591d6-2b7b-47af-8ed2-f68e1f5434f6,Bihar,C0008,Nagpur,5,2024-05-21T15:28:18.800054+05:53,Yochana Khurana,YSRCP,Male,57,Post-Graduate,3,0.78,0.03,0.12,5901,0.3338,0.5099,0.2708,128036,93376,5329,98705,77.09,0.119,0.2176,4,0.7709,0.2458,0.7542,0.054,0.4859,0.4962,0.5553,True,0.6083,0.9021,0.5294,0.749,0.6461,0.1708,Booth Capture,Rapid Response Team,1.0,0.7281,0.4246,0.0116,0.0358,49.7,0.4764,EVM-WG926MVF,,6,0.2407,21.98,31.31,D,0.1434,0.4657,Won,1,High
96fb1c8e-c776-4f82-b883-509719f7dadf,Assam,C0317,Sambalpur,1,2024-04-20T02:42:43.430954+05:53,Zansi Tara,NCP,Male,53,Post-Graduate,0,37.18,13.34,,2812,0.3863,0.5378,0.3747,148165,79747,2599,82346,55.58,0.1236,0.1326,7,0.5558,0.7384,0.2616,0.0316,0.4201,0.3934,0.4405,True,0.5507,0.5758,0.4016,0.7336,0.276,0.1683,Vote Stuffing,Media Fact-Check,0.6439,0.4937,0.2489,-0.0495,0.0,179.3,0.2238,EVM-IR725CLM,341.2,5,0.0965,94.401,76.622,B,0.3228,0.428,Won,1,Medium
973a3ec0-a2cd-4161-bce9-f9592435f64c,Madhya Pradesh,C0027,Kolhapur,3,2024-05-07T18:43:18.086654+05:53,Falguni Gaba,Independent,Male,63,Post-Graduate,1,1.75,0.64,0.65,28718,0.6685,0.6436,0.4959,180260,96227,1719,97946,54.34,0.1361,0.1613,6,0.5434,0.3962,0.6038,0.0176,0.3194,0.1757,0.2581,False,0.2279,0.2289,0.4764,0.1133,0.129,0.1677,Physical Intimidation,CCTV Deployment,0.5767,0.4126,0.2468,0.001,0.0,67.3,0.1412,EVM-LG661RLJ,250.2,2,0.2881,78.95,70.513,B,0.6605,0.1211,Won,0,Low
12135bca-2269-4aa6-b02e-843adfc1eb61,Gujarat,C0276,Bongaigaon,6,2024-05-26T16:25:47.797091+05:53,Radhika Hayer,CPM,Female,66,12th Pass,0,10.08,2.44,1.35,7890,0.9111,0.7059,0.475,168024,68071,20903,88974,52.95,0.2319,0.3166,4,0.5295,0.1603,0.8397,0.2349,0.3429,0.3838,0.3488,True,0.3397,0.1793,0.3421,0.505,0.474,0.3142,Cyber Intrusion,AI Monitoring,0.9957,0.6684,0.172,-0.0229,0.1203,26.1,0.3859,EVM-MH866ILY,257.3,1,0.0592,24.436,55.382,E,0.397,0.1825,Won,0,Medium
12d37e71-d165-49fb-84cf-aea6081da715,Maharashtra,C0472,Gudivada,5,2024-05-21T17:56:21.420097+05:53,Ikbal Venkataraman,JDU,Male,55,Graduate,3,16.29,4.02,4.78,3741,0.578,0.4753,0.0736,139651,84967,12370,97337,69.7,0.0471,0.2898,4,0.697,0.3515,0.6485,0.1271,0.2288,0.2646,0.1655,False,0.1694,0.409,0.3393,0.1438,0.5279,0.1523,Bot Network,AI Monitoring,0.8833,0.5204,0.3496,0.0557,0.0311,49.8,0.2413,EVM-VR643DOK,436.6,1,0.1,70.571,35.088,E,0.0237,0.1079,Lost,0,Low
b0edd9b9-cce9-4186-a596-bbc003346c75,Maharashtra,C0477,Patna,3,2024-05-08T09:51:54.981079+05:53,Janaki Malhotra,JDU,Male,56,Graduate,2,3.87,0.97,1.0,34865,0.2054,0.4196,0.4709,117965,56733,6202,62935,53.35,0.1552,0.02,6,0.5335,0.4066,0.5934,0.0985,0.3219,0.2646,0.2808,True,0.5014,0.1575,0.3509,0.5229,0.1269,0.1765,Deepfake Campaign,Voter Education Drive,0.8011,0.5479,0.5313,-0.0151,0.0,44.2,0.191,EVM-FE372QUX,271.8,1,0.3276,79.929,38.173,A,0.1472,0.2518,Lost,0,Medium
995ec0b7-4932-46d2-a0b4-9be26e3cccc8,Uttar Pradesh,C0178,Tiruchirappalli,5,2024-05-20T11:13:42.618702+05:53,Hritik Kapur,DMK,Male,51,Graduate,0,12.5,0.8,,77331,,0.6568,0.7408,275475,200184,4837,205021,74.42,0.0833,0.2174,7,0.7442,0.7217,0.2783,0.0236,0.3935,0.2871,0.2692,False,0.2238,0.3264,0.4759,0.1592,0.4776,0.1866,Cyber Intrusion,AI Monitoring,0.9796,0.6704,0.4193,-0.0073,0.0209,137.2,0.2429,EVM-PM127YQD,147.8,1,0.1829,76.249,52.535,D,0.6168,0.3871,Won,0,Medium
d65346e3-e6c6-4f13-96d4-0074a9435d81,Punjab,C0360,Muzaffarpur,7,2024-06-01T04:03:46.100803+05:53,Sneha Dube,JDU,Male,33,12th Pass,2,4.16,1.06,1.56,12065,0.7647,0.6629,0.0145,153202,105443,12188,117631,76.78,,0.1214,2,0.7678,0.4921,0.5079,0.1036,0.3038,0.2545,0.2078,False,0.2444,0.3531,0.2768,0.1632,0.5014,0.1004,Insider Threat,Real-time Audit,1.0,0.6521,0.1943,,0.0196,104.4,0.2745,EVM-VM223OVU,147.0,4,0.181,52.765,45.013,A,0.3014,0.1688,Lost,0,Medium
1ae3bffd-9686-47ad-8da1-7a63a14a732d,Gujarat,C0236,Kishanganj,4,2024-05-13T05:07:33.751973+05:53,Mugdha Din,YSRCP,Female,40,10th Pass,0,17.29,0.49,1.19,10437,0.2736,0.4303,0.4011,77764,35938,2462,38400,49.38,0.2079,0.0033,4,0.4938,0.2285,0.7715,0.0641,0.2859,0.2654,0.3176,True,0.381,0.2292,0.3026,0.5868,0.1287,0.132,Deepfake Campaign,Voter Education Drive,0.7857,0.5547,0.28,-0.0086,0.0,56.8,0.2069,EVM-ZI928HQI,143.6,1,0.1669,85.002,47.792,B,0.2156,0.292,Won,0,Medium
abea7062-b61f-4f41-8916-12c2ad71bd73,Telangana,C0033,Bongaigaon,6,2024-05-26T06:52:39.667813+05:53,Harrison Saini,AAP,Male,59,Graduate,4,1.55,0.43,0.46,45267,0.2616,0.4292,0.4629,193252,138773,2577,141350,73.14,0.1183,0.1472,4,0.7314,0.1687,0.8313,0.0182,0.2542,0.2268,0.1705,False,0.1504,0.1975,0.2607,0.1231,0.462,0.1618,Physical Intimidation,CCTV Deployment,0.7243,0.5296,0.3313,0.0635,0.2276,59.5,0.249,EVM-UT349MIE,115.0,0,0.1326,16.502,,B,0.0638,0.2362,Lost,1,Medium
